ID,VWO EG1,VWO EG2,VWO EG3,VWO EG4,VWO EG5,VWO EG6,Doorlopend?,HAVO EG1,HAVO EG2,HAVO EG3,HAVO EG4,HAVO EG5,Doorlopend?,,MAVO EG1,MAVO EG2,MAVO EG3,MAVO EG4,Doorlopend?
2803452,,,,,,,FALSE,,,,,,FALSE,,,,,6.52,FALSE
2803575,,,,,,,FALSE,,,,6.677777778,6.31,FALSE,,,,,,FALSE
2803698,,,,,6.281818182,6.472727273,FALSE,,,,,,FALSE,,,,,,FALSE
2803821,,,,,,,FALSE,,,,,6.44,FALSE,,,,,,FALSE
2803944,,,,,,,FALSE,,,,,6.75,FALSE,,,,,,FALSE
2808987,,,,6.377777778,6.263636364,6.133333333,FALSE,,,,,,FALSE,,,,,,FALSE
2810094,,,,,,,FALSE,,,,6.133333333,5.93,FALSE,,,,,,FALSE
2810217,,,,,,,FALSE,,,,6.37,6.33,FALSE,,,,,,FALSE
2810340,,,,,,,FALSE,,,,,7.12,FALSE,,,,,,FALSE
2816859,,,,,,,FALSE,,,,,5.7,FALSE,,,,,,FALSE
2817105,,,,6.55,6.375,6.436363636,FALSE,,,,,,FALSE,,,,,,FALSE
2824362,,,,,,,FALSE,,,,,6.45,FALSE,,,,,,FALSE
2827560,,,,,,,FALSE,,,,6.47,6.38,FALSE,,,,,,FALSE
2827683,,,,,,,FALSE,,,,,,FALSE,,,,5.85,5.99,FALSE
2827806,,,,5.911111111,6.572727273,6.658333333,FALSE,,,,,,FALSE,,,,,,FALSE
2828052,,,,5.844444444,,,FALSE,,,,5.91,5.818181818,FALSE,,,,,,FALSE
2831004,,,,7.18,7.25,7.25,FALSE,,,,,,FALSE,,,,,,FALSE
2831127,,,,,,,FALSE,,,,7.1,6.945454545,FALSE,,,,,,FALSE
2831250,,,,,,,FALSE,,,,,,FALSE,,,,6.15,6.06,FALSE
2831373,,,,,,,FALSE,,,,5.73,5.927272727,FALSE,,,,,,FALSE
2831496,,,,,,,FALSE,,,,7.045454545,7.136363636,FALSE,,,,,7.654545455,FALSE
2831742,,,,7.1,7.141666667,7.254545455,FALSE,,,,,,FALSE,,,,,,FALSE
2834325,,,,,,,FALSE,,,,4.78,,FALSE,,,,,,FALSE
2834571,,,,,,,FALSE,,,,,,FALSE,,,,,6.32,FALSE
2834817,,,,,,,FALSE,,,,,,FALSE,,,,,5.87,FALSE
2835063,,,,,,,FALSE,,,,,,FALSE,,,,,6.2,FALSE
2836293,,,,,,,FALSE,,,,6.61,6.42,FALSE,,,,,,FALSE
2836416,,,,,,,FALSE,,,6.833333333,5.933333333,5.75,FALSE,,,,,,FALSE
2836785,,,,,,,FALSE,,,,6.39,6.37,FALSE,,,,,,FALSE
2836908,,,,,,,FALSE,,,,6.19,6.14,FALSE,,,,,,FALSE
2837031,,,,,,,FALSE,,,,6.72,6.55,FALSE,,,,,,FALSE
2837154,,,,5.544444444,,,FALSE,,,,5.21,6.145454545,FALSE,,,,,,FALSE
2837277,,,,,,,FALSE,,,,6.618181818,6.772727273,FALSE,,,,,,FALSE
2840352,,,,,,,FALSE,,,,6.11,6.01,FALSE,,,,,,FALSE
2840598,,,,,,,FALSE,,,6.768,6.336363636,6.672727273,FALSE,,,,,,FALSE
2840721,,,,7.644444444,7.790909091,7.763636364,FALSE,,,,,,FALSE,,,,,,FALSE
2840844,,,,,,,FALSE,,,,6.56,6.39,FALSE,,,,,,FALSE
2841090,,,,,,,FALSE,,,,6.4,6.35,FALSE,,,,,,FALSE
2841213,,,,,,,FALSE,,,,,,FALSE,,,,,6.690909091,FALSE
2841336,,,,,,,FALSE,,,,6.16,6.32,FALSE,,,,,,FALSE
2841459,,,,,,,FALSE,,,,,,FALSE,,,,,6.190909091,FALSE
2841582,,,,,,,FALSE,,,,6.51,6.57,FALSE,,,,,,FALSE
2841705,,,,,,,FALSE,,,,6.18,5.95,FALSE,,,,,,FALSE
2841828,,,,,,,FALSE,,,6.608,5.9,5.772727273,FALSE,,,,,,FALSE
2841951,,,,,,,FALSE,,,6.411333333,5.827272727,5.590909091,FALSE,,,,,,FALSE
